iter	Logloss
0	0.5189608938
1	0.4211759406
2	0.368383422
3	0.3365259396
4	0.3168260844
5	0.3052360652
6	0.2971468759
7	0.2911229725
8	0.286177654
9	0.2827389905
10	0.2800904796
11	0.2781167047
12	0.2762400322
13	0.275106163
14	0.2739689726
15	0.2731645421
16	0.2726483239
17	0.2718434723
18	0.2713636805
19	0.27081209
20	0.2705488877
21	0.2701624973
22	0.2697201554
23	0.2695336851
24	0.2692613954
25	0.2690932864
26	0.2688351765
27	0.2687156135
28	0.2685493186
29	0.2682755725
30	0.2681217252
31	0.2679784809
32	0.2677070395
33	0.2675976505
34	0.2674409786
35	0.2673515739
36	0.2671534104
37	0.2670730775
38	0.2669323995
39	0.2668001638
40	0.2667206714
41	0.2666474377
42	0.2665990254
43	0.2665303574
44	0.2664776953
45	0.2663690396
46	0.2663339062
47	0.2662748559
48	0.2661546514
49	0.2661133801
50	0.2660487585
51	0.2660035418
52	0.2659625334
53	0.2658822008
54	0.2658257899
55	0.2657757171
56	0.2657381706
57	0.2656755048
58	0.2656240905
59	0.2655792312
60	0.2655392186
61	0.2655074957
62	0.2654764854
63	0.2654540587
64	0.2653953065
65	0.2653493304
66	0.2653032531
67	0.2652798311
68	0.2652343891
69	0.2651757904
70	0.26513698
71	0.2650829984
72	0.2650389976
73	0.2650030935
74	0.2649673808
75	0.2649339732
76	0.2648988886
77	0.2648695422
78	0.2648469433
79	0.2648185698
80	0.2647997581
81	0.2647663984
82	0.2647379803
83	0.2646911833
84	0.2646531225
85	0.2646252648
86	0.2645972383
87	0.2645729172
88	0.2645415971
89	0.2645169719
90	0.2644483642
91	0.2644132858
92	0.2643794503
93	0.2643606557
94	0.2643199081
95	0.2642832037
96	0.264255404
97	0.2642181856
98	0.2642019673
99	0.2641551764
100	0.264127098
101	0.2641049255
102	0.2640732745
103	0.2640468952
104	0.2640196975
105	0.2639834551
106	0.2639512149
107	0.2639251297
108	0.2638979318
109	0.2638742382
110	0.2638465142
111	0.2638143044
112	0.2637847568
113	0.2637661838
114	0.2637378786
115	0.2637081818
116	0.2636899309
117	0.2636581272
118	0.2636361011
119	0.2636010294
120	0.2635716619
121	0.2635515631
122	0.2635205907
123	0.2634886781
124	0.2634464834
125	0.2634247067
126	0.2633977171
127	0.2633740872
128	0.2633368334
129	0.2633082529
130	0.2632702544
131	0.2632469214
132	0.2632316865
133	0.2632032172
134	0.2631757352
135	0.263149122
136	0.2631294011
137	0.2631004429
138	0.2630760419
139	0.2630411714
140	0.2630253055
141	0.2630046741
142	0.2629774624
143	0.2629585836
144	0.2629375172
145	0.2629078021
146	0.2628803423
147	0.2628599186
148	0.2628347639
149	0.2628095179
150	0.2627914339
151	0.262755737
152	0.2627228868
153	0.2626995731
154	0.2626817089
155	0.2626597751
156	0.2626336217
157	0.2626001945
158	0.2625849313
159	0.2625562483
160	0.2625316144
161	0.2625141604
162	0.2624975174
163	0.262479774
164	0.2624505729
165	0.2624263557
166	0.2624051076
167	0.2623781753
168	0.2623496832
169	0.2623255845
170	0.2623075261
171	0.2622858102
172	0.2622643742
173	0.2622304891
174	0.2622039758
175	0.262177853
176	0.2621535315
177	0.2621252578
178	0.2621084145
179	0.2620830974
180	0.2620613125
181	0.2620443951
